,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
22,"Filled up today at 1,509 eur/l, which translates to 7,43 usd/gallon. This is a two-year low if memory serves, and for a limited time only.",0.0,0.3,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2732}"
23,USD weighed by Asian CB reserve management. EUR and AUD benefit. Cable supported by divi payment. CHF still weighed by SNB talk.,0.0,0.0,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}","{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}"
24,"Now Eur/USD is 4h chart Head and Shoulder pattern neck line if down 1.3000
take profit   1.2873",0.0,0.0,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
25,"Same folk that screamed GREXIT and Parity EUR/USD and told you to dump Italy and Spain bonds.All wrong, disastrous calls without consequence",-0.5,0.9,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.8126}","{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.8126}"
26,"BOJ, BOE and FED are printing, so look for a weak JPY, GBP and USD... And a relatively stronger EUR as a result.",-0.375,0.625,"{'neg': 0.176, 'neu': 0.667, 'pos': 0.158, 'compound': -0.0772}","{'neg': 0.176, 'neu': 0.667, 'pos': 0.158, 'compound': -0.0772}"
27,"Market talk of offers in EUR/USD at 1.3020 and
1.3030 - Unconfirmed",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,"EUR/USD BIAS REMAINS WITH THE BEARS, LOOKS FOR A BREAK OF THE 21 DMA NEXT, YDAY THE AVERAGE, AND 50% FIBO LENDS SUPPORT,",0.0,0.0,"{'neg': 0.093, 'neu': 0.728, 'pos': 0.179, 'compound': 0.3182}","{'neg': 0.093, 'neu': 0.728, 'pos': 0.179, 'compound': 0.3182}"
29,"out of Eur/Usd Long from 1,2965 @1,2975/+10 &gt; re-long at 1,2955 and 1,2905 #FXDIRK",-0.05,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"out of Eur/Usd Long from 1,2980 (pending-order see old post) at 1,29925 b4 ifo &gt; new pending long set for 1,2965 and 1,2915 #FXDIRK",0.03409090909090909,0.36363636363636365,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,"#EUR/USD Expiries, 500 mln 1.2995, 1.30s and 1.2925 strikes #USD #FX",0.0,0.0,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.128}","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.128}"
32,"Gold bounces and AUD/USD rebounds from yesterday's trading, USD/JPY buoyant at 99.55 with EUR/USD above 1.30 level. EUR bid into Europe open",0.0,0.5,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}"
33,"Despite a rumour about SNB yesterday, EUR is about to start Risk Diffusion downward, and EUR/USD looks follow it.",0.0,0.0,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}"
34,"EUR/USD Pivot point support and resistance level: S1: 1.2951, S2: 1.2907, S3: 1.2796, R1: 1.3062, R2: 1.3129, R3: 1.3240""",0.0,0.0,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
35,"DailyFXTeam: EUR/USD Pivot point support and resistance level: S1: 1.2951, S2: 1.2907, S3: 1.2796, R1: 1.3062, R2: 1.3129, R3: 1.3240",0.0,0.0,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}"
36,"...go after the hacker for the #AP fake story on #POTUS; but what about the folks who hacked the #USD, #EUR, #GBP and #JPY ie central banks?",-0.25,0.625,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}","{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}"
37,"EUR/USD Pivot point support and resistance level: S1: 1.2951, S2: 1.2907, S3: 1.2796, R1: 1.3062, R2: 1.3129, R3: 1.3240",0.0,0.0,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
38,Will review eur/usd chart and post levels later. So far our 1.2985 level is holding. It's all in the charts baby!,0.05,0.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"USD holding firm against JPY and GBP, levels at 99.46 and 1.5245 respectively. EUR/JPY back up to 129.35 and EUR/USD back above 1.30.",-0.06666666666666667,0.13333333333333333,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4767}","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4767}"
40,@vivainio @geeksphone I didn't feel like being quoted USD 231 and charged EUR 231 (USD 313 or so) so I didn't retry.,0.0,0.0,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.2755}","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.2755}"
41,The charts told us what the high and low of eur/usd would be and we traded it calling both the high and low prices within 3 pips.,0.08,0.42,"{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.4939}","{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.4939}"
42,"Successful Trades on Apr 23, 2013 According to the analysis of the USD/JPY and EUR/USD trader profited on a binary options platform.",0.3,0.0,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}"
43,Look at USD/JPY &amp; EUR/USD @ 1pm vs ES....its pretty clear which FX pair the algo trades..and that ZN was the best hacker P&amp;L trade.,0.55,0.3416666666666667,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7783}","{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7783}"
44,@zerohedge - JPY currency pairs- USD and AUD- dipped during that but EUR/USD didn't budge. Hmmmmm.......,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,@Luke_McLachlan I'm also long $USD/CHF it's funny how this pair is moving and EUR and GBP are just confused!!!!!,-0.05,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,EUR/USD has formed a Channel Down pattern on the 4H chart. The pattern has 67% quality and 100% magnitude in the 368-bar period.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,jeez got stopped out on gold short and whoosh of it goes just like my eur/usd trade frustrating day,0.0,0.3,"{'neg': 0.161, 'neu': 0.657, 'pos': 0.182, 'compound': 0.0772}","{'neg': 0.161, 'neu': 0.657, 'pos': 0.182, 'compound': 0.0772}"
48,"Richard Perry, our Chief Market Strategist in CNBC this Afternoon, talking about EUR/USD and FTSE 100",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"EUR/USD- DAILY INDICATORS ARE BEARISH AND TICK SOUTH, BELOW THE 21 DMA TARGETS THE 200 DMA AT 1.2936",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"Lots of data out today, expect some volatility with Sterling and the Euro under pressure against the US Dollar #GBP #EUR #USD",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,EUR/USD +50 and -50 pips in 15 minutes,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,"Todays View: Short AUD, GBP/USD look to buy USD/JPY. Long EUR/USD and GBP/NZD (1 week to 4 months)",-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,still long usd/cad and short eur/usd ysterdy they looked like going to target but poor US house sales slowed them down hopefully tday we hit,-0.1875,0.42499999999999993,"{'neg': 0.144, 'neu': 0.605, 'pos': 0.251, 'compound': 0.3182}","{'neg': 0.144, 'neu': 0.605, 'pos': 0.251, 'compound': 0.3182}"
54,"EUR/USD got out of the balance &amp; Hi Edge, and is about to diffuse Risk.",0.0,0.0,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}"
55,"Day by day in everyway we are getting better and better. .Life is soo good..

Productive week to all traders around the globe.. EUR/USD",0.5,0.5,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.7003}","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.7003}"
56,"Current FXPoondog positions: long EUR/CHF, USD/JPY, and doggy style... Boom!",-0.025,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"Eur/Usd Long pending for 1,3045 and 1,2995 #EUR #eurusd FXDIRK",-0.05,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,"EUR/USD under slight pressure as confidence continues to wain and Italian political situation continues to deteriorate, level at 1.3050.",-0.08333333333333333,0.08333333333333333,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,EUR/USD rebound limited to 1.3040 after EMU and US data,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"Successful Trades on Apr 22, 2013 According to the analysis of the EUR/USD and GBP/USD trader profited on a binary options platform.",0.3,0.0,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}"
61,Double support and resistance at 1.30299 on the #EUR/USD,0.0,0.0,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
62,"@piptee they look pretty good now. i am long usd/sdg too and short eur/gbp (50%--86,00) looking good too.",0.33749999999999997,0.47500000000000003,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}"
63,we close 1/2 shorts eur/usd and longs usd/chf all ready. lets see what it take us.,-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
64,"eur/usd shorts, usd/chf longs and eur/gbp shorts working well now. we still have a entry order long usd/sgd at 12375 ( 50% fib)",-0.025,0.35,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}"
65,eur/usd finally breaking down and hopefully on its way to target,0.0,1.0,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
66,"""@MONEYLINE_FCPL: Arizona Set To Use Gold &amp; Silver As Currency -   Today’s AM fix was USD 1,425.00, EUR 1,092.54 and GBP 935.04",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"EUR/USD remains under pressure and hovers back around the 1.3040 level. Next support comes in @ 1.2950, with topside resistance at 1.3131",0.0,0.0,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
68,"scores on the doors, zzz this morning, risk trading heavy, EUR and GBP down against USD and AUD not much better, XAU looking ok $ 1434",0.5,0.5,"{'neg': 0.213, 'neu': 0.644, 'pos': 0.144, 'compound': -0.1027}","{'neg': 0.213, 'neu': 0.644, 'pos': 0.144, 'compound': -0.1027}"
69,The EUR/USD remains weaker on Monday and has been trading under a narrow range at 1.3030/55 during the European morning.,-0.1,0.2,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}","{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}"
70,EUR/USD and GBP/USD look rangebound,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
71,Nippon life release investment plans early. See USD/JPY in a range of 93.0 to 103.00 and EUR/JPY at 117.00 to 137.00.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,short eur/gbp  at 8567 stop 8600 short eur/usd and long usd/chf  working well.,-0.016666666666666666,0.3333333333333333,"{'neg': 0.165, 'neu': 0.677, 'pos': 0.158, 'compound': -0.0258}","{'neg': 0.165, 'neu': 0.677, 'pos': 0.158, 'compound': -0.0258}"
73,It seems thst EUR.USD needs a break and hold below 1.3030 for downside pressure to continue ....,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"#FX space at the start of a new week: yen lower, NZD and SEK and CAD higher, EUR, USD and GBP fairly weak ^KB",0.1778409090909091,0.6198863636363636,"{'neg': 0.263, 'neu': 0.619, 'pos': 0.119, 'compound': -0.4215}","{'neg': 0.263, 'neu': 0.619, 'pos': 0.119, 'compound': -0.4215}"
75,im short eur/usd and still long from friday in usd/cad,-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"EUR/USD is still on the balance of Long &amp; Short, but its Fractal Wave could not break Hi Edge and looks peak out...",-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,EUR/USD completes back-and-forth of 95.75/96.00-99.75-100 (99.94 to 95.93 to 99.88); shd see taste of over 100 soon into 100.85-101.00,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,EUR/USD boxed at 1.2950/1.3000-1.3150/1.3200 consolidation range (low at 1.3000 and hi at 1.3128); tone bullish into 1.3350 while abv 1.2950,0.0,0.3,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2732}"
79,"@FractalHIS the ""why's"" are important. If it is ""risk aversion"" and it's strong, the EUR/USD probably will come down too. @abgarman",0.4333333333333333,0.7333333333333333,"{'neg': 0.184, 'neu': 0.526, 'pos': 0.289, 'compound': 0.296}","{'neg': 0.184, 'neu': 0.526, 'pos': 0.289, 'compound': 0.296}"
80,26-02-13: EUR/USD Total  tonite +53 pips: +32 from short scalp and +21 from long scalp.,-0.016666666666666666,0.4833333333333334,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"@ch2500 it's all the same - 19.99 in euro and in USD. Except the EUR price includes the sales tax, while the one for US is added at checkout",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"If anyone else is reading up in preparation for the week ahead, what's your take? I think $USD up, $Gold and $Silver both down, $EUR up.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,@LuhanWorld OHh and should i send it as USD or EUR? o:,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,FX Markets have come to a close for the week *Watchout for the GBP/USD and EUR/USD on Monday - All trading at support levels*,0.0,0.0,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
85,@FXexaminer Hi Neal.. Will you keep your position open on eur/usd and usd/cad over the weekend?,0.0,0.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,EUR/USD lod (can´t break 131) YEN crosses off highs and volatile but can regain traction depending on official ECB details,0.08,0.26999999999999996,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,Free Binary Signal Tweet: Buy or Call EUR/USD @ 1.2988 or lower and Sell or Put @ 1.3130,0.4,0.8,"{'neg': 0.142, 'neu': 0.645, 'pos': 0.213, 'compound': 0.2732}","{'neg': 0.142, 'neu': 0.645, 'pos': 0.213, 'compound': 0.2732}"
88,Euro struggling today.. Flat head and shoulders? #EUR/USD,-0.025,0.125,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,@Sigma_Square you were right on the EUR/USD head and shoulders... short 30+pips and monitoring trade,0.14285714285714285,0.4178571428571428,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,Its heating up outside and in the markets!  USd is selling @ 1.0441; EUR @ 1.3917 and GBP @ 1.6183! Hurry in before your European trip!!,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"EUR/USD
""The Fed is missing its dual mandate on both sides—unemployment is too high, and inflation is too low.""",0.08,0.41999999999999993,"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.4019}","{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.4019}"
92,"@WinnersEdgeTrad hehehehe. yeappp. i know. to me looks bearish eur and bullish usd/chf but its a lot of confusion in the market , g20.....",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,EUR/USD to resume drop below 1.3000 and 1.2930 towards 1.2740 and 1.2679/61 - Commerzbank,0.0,0.0,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
